species,hardness,value
Hydra circumcincta,27,69.69
Hydra circumcincta,85.1,128.1
Hydra circumcincta,145,172
Limnodrilus hoffmeisteri,5.3,170
Limnodrilus hoffmeisteri,152,"2,400"
Villosa vibex,40,30
Villosa vibex,186,125
Daphnia magna,51,9.9
Daphnia magna,104,33
Daphnia magna,105,34
Daphnia magna,197,63
Daphnia magna,209,49
Daphnia pulex,17,16.86
Daphnia pulex,24,23.61
Daphnia pulex,30,46.09
Daphnia pulex,47,24.73
Daphnia pulex,67.1,71.94
Daphnia pulex,119,116.9
Daphnia pulex,175,155.1
Chironomus riparius,10,"331,000"
Chironomus riparius,140,"1,106,000"
Oncorhynchus mykiss,31,1.75
Oncorhynchus mykiss,23,1.3
Oncorhynchus mykiss,23,1
Oncorhynchus mykiss,43.5,2.3
Oncorhynchus mykiss,44.4,3
Oncorhynchus mykiss,52,1.88
Oncorhynchus mykiss,29,2.79
Oncorhynchus mykiss,281,13.4
Oncorhynchus mykiss,28,2.09
Oncorhynchus mykiss,281,10
Oncorhynchus mykiss,30.7,0.71
Oncorhynchus mykiss,29.3,0.47
Oncorhynchus mykiss,31.7,0.51
Oncorhynchus mykiss,30.2,0.38
Oncorhynchus mykiss,30,1.29
Oncorhynchus mykiss,89.3,2.85
Oncorhynchus mykiss,103,3.7
Oncorhynchus mykiss,103,5.2
Oncorhynchus mykiss,19.7,0.864
Oncorhynchus mykiss,29.4,0.915
Oncorhynchus mykiss,44,2.75
Oncorhynchus mykiss,21,0.8224
Oncorhynchus mykiss,7,0.4934
Oncorhynchus mykiss,13,1.018
Oncorhynchus mykiss,24,1.336
Oncorhynchus mykiss,32,0.956
Oncorhynchus mykiss,29,0.8532
Oncorhynchus mykiss,21,0.3495
Salmo trutta,43.5,1.4
Salmo trutta,48,2.85
Salmo trutta,37.6,2.37
Salmo trutta,29.2,1.23
Salmo trutta,67.6,3.9
Salmo trutta,151,10.1
Carassius auratus,20,"2,130"
Carassius auratus,140,"46,800"
Danio rerio,141,"1,832"
Danio rerio,7.8,125.2
Pimephales promelas,201,"11,200"
Pimephales promelas,201,"12,000"
Pimephales promelas,201,"6,400"
Pimephales promelas,201,"2,000"
Pimephales promelas,201,"4,500"
Pimephales promelas,103,"3,060"
Pimephales promelas,103,"2,900"
Pimephales promelas,103,"3,100"
Pimephales promelas,262.5,"7,160"
Pimephales promelas,43.5,"1,280"
Pimephales promelas,44.4,"1,500"
Pimephales promelas,44,13.2
Pimephales promelas,85.5,"3,580"
Lepomis cyanellus,335,"20,500"
Lepomis cyanellus,85.5,"11,520"
Lepomis macrochirus,20,"1,700"
Lepomis macrochirus,350,"22,200"
Lepomis macrochirus,207,"21,100"
Lepomis macrochirus,18,"2,300"
Lepomis macrochirus,18,"2,300"
Lepomis macrochirus,44.4,"6,470"
