common_name,sci_name,method,chem,cen_hardness,hardness,cen_value,value,cen_normalized_value,normalzed_value,2001_smav,2016_smav,reference,other_info,hardness_meta,value_meta,normalized_value_meta
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,85.1,,128.1,,150,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,145,,172,,119.5,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,69.69,,251.1,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,73.8,,83.18,,112,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,125,,76.44,,61.43,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,69.69,,251.1,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,61.83,,222.7,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,84.31,,303.7,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,66.32,,238.9,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,69.69,,251.1,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,58.45,,210.6,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,43.84,,157.9,,,Clifford 2009,,,,
Hydra,Hydra circumcincta,"S, M","Cadmiumreferencestandard",,27,,57.33,,206.5,,184.8,Clifford 2009,,,,
Planarian,Dendrocoelum lacteum,"R,M",Cadmiumchloride,,87,,"23,220",,"26,607","28,454","26,607",Ham et al. 1995,,,,
Oligochaete,Branchiura sowerbyi,"S, M",Cadmiumsulfate,,5.3,,240,,"4,255",,,Chapman et al. 1982,,,,
Oligochaete,Limnodrilus hoffmeisteri,"S, M",Cadmiumsulfate,,5.3,,170,,"3,014",,,Chapman et al. 1982,,,,
Oligochaete,Quistadrilus multisetosus,"S, M",Cadmiumsulfate,,5.3,,320,,"5,674","6,338","5,674",Chapman et al. 1982,,,,
Oligochaete,Rhyacodrilus montana,"S, M",Cadmiumsulfate,,5.3,,630,,"11,171","12,479","11,171",Chapman et al. 1982,,,,
Oligochaete,Spirosperma ferox,"S, M",Cadmiumsulfate,,5.3,,350,,"6,206","6,933","6,206",Chapman et al. 1982,,,,
Oligochaete,Spirosperma nikolskyi,"S, M",Cadmiumsulfate,,5.3,,450,,"7,979","8,913","7,979",Chapman et al. 1982,,,,
Oligochaete,Stylodrilus heringianus,"S, M",Cadmiumsulfate,,5.3,,550,,"9,752","10,894","9,752",Chapman et al. 1982,,,,
Tubificid worm,Tubifex tubifex,"S, M",Cadmiumsulfate,,5.3,,320,,"5,674",,,Chapman et al. 1982,,,,
Tubificid worm,Tubifex tubifex,"S, M",Cadmiumchloride,,128,,"3,200",,"2,513",,,Reynoldson et al. 1996,,,,
Tubificid worm,Tubifex tubifex,"S, M",Cadmiumchloride,,128,,"1,700",,"1,335",,,Reynoldson et al. 1996,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,,,"1,032",,NA ,,,Fargasova 1994a,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,237,,"56,000",,"24,059",,,Rathore and Khangarot2002,,(15oC),,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,237,,"51,900",,"22,297",,,Rathore and Khangarot2002,,(20oC),,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,237,,"61,470",,"26,409",,,Rathore and Khangarot2002,,(25oC),,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,237,,"28,550",,"12,266",,,Rathore and Khangarot2002,,(30oC),,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,12,,130,,"1,036",,,Rathore and Khangarot2003,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,45,,440,,961.3,,,Rathore and Khangarot2003,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,173,,"7,950",,"4,648",,,Rathore and Khangarot2003,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,305,,"8,500",,"2,853",,,Rathore and Khangarot2003,,,,
Tubificid worm,Tubifex tubifex,"S, U",Cadmiumchloride,,250,,"1,658",,676,,,Redeker and Blust 2004,,,,
Snail,Aplexa hypnorum,"F, M",Cadmiumchloride,,44.8,,93,,204.1,210.3,204.1,"Holcombe et al. 1984;Phipps and Holcombe1985",,,,
Snail,Gyraulus sp.,"R, M",Cadmiumchloride,,24,>,467.7,>,"1,891",,,Mebane et al. 2012,,,,
Snail,Gyraulus sp.,"R, M",Cadmiumchloride,,21,>,75.04,>,345.7,,>808.4,Mebane et al. 2012,,,,
Southern fatmucket,"Lampsilis stramineaclaibornensis","S, M",,,40,,38,,93.17,96.44,93.17,"Keller, Unpublished",,,,
Yellow sandshell,Lampsilis teres,"S, M",,,40,,11,,26.97,,,"Keller, Unpublished",,,,
Mussel,Utterbackia imbecillis,"S, M",Cadmiumchloride,,90,,114.7,,127.1,,,"Keller, Unpublished",,,,
Mussel,Utterbackia imbecillis,"S, M",Cadmiumchloride,,90,,111.8,,123.9,,,"Keller, Unpublished",,,,
Cladoceran,Alona affinis,"S, U",Cadmiumnitrate,,109,,546,,501.7,500.1,501.7,Ghosh et al. 1990,,,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,,<,1.6,,NA ,,,Anderson 1948,,,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,45,,65,,142,,,Biesinger and Christensen1972,,,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,120,,20,,16.73,,,Hall et al. 1986,,,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,120,,40,,33.46,,,Hall et al. 1986,,,,
Cladoceran,Daphnia magna,"S, U",Cadmiumchloride,,,,360,,NA ,,,Fargasova 1994a,,,,
Cladoceran,Daphnia pulex,"S, U",Cadmiumchloride,,57,,47,,81.47,,,Bertram and Hart 1979,,,,
Cladoceran,Daphnia pulex,"S, U",Cadmiumchloride,,85,,66,,77.37,,,Roux et al. 1993,,,,
Cladoceran,Daphnia pulex,"S, U",Cadmiumchloride,,85,,99,,116.1,,,Roux et al. 1993,,,,
Cladoceran,Daphnia pulex,"S, U",Cadmiumchloride,,85,,70,,82.06,,,Roux et al. 1993,,,,
Cladoceran,Diaphanosoma brachyurum,"S, U",Cadmiumchloride,,67.1,,69.8,,103.1,,103.1,Mano et al. 2011,,,,
Cladoceran,Moina macrocopa,"S, U",Cadmiumchloride,,82,,71.25,,86.51,87.16,86.51,Hatakeyama and Yasuno1981b,,,,
Cladoceran,Simocephalus serrulatus,"S, M",Cadmiumchloride,,11.1,,7,,60.19,,,Giesy et al. 1977,,,,
Cladoceran,Simocephalus serrulatus,"S, M",Cadmiumchloride,,43.5,,24.5,,55.33,61.1,57.71,"Spehar and Carlson1984a,b",,,,
Cyclopoid copepod,Cyclops varicans,"S, U",Cadmiumnitrate,,109,,493,,453,451.6,453,Ghosh et al. 1990,,,,
Isopod,Lirceus alabamae,"F, M",Cadmiumchloride,,152,,150,,99.54,97.98,99.54,Bosnak and Morgan 1981,,,,
Crayfish,Orconectes limosus,"S, M",Cadmiumchloride,,,,400,,,eNA,eNA,Boutet and Chaisemartin1973,,,,
Crayfish,Orconectes virilis,"F, M",Cadmiumchloride,,26,,"6,100",,"22,800",,,Mirenda 1986,,,,
Mayfly,Baetis tricaudatus,"R, M",Cadmiumchloride,,24,>,456.4,>,"1,845",,,Mebane et al. 2012,,,,
Mayfly,Baetis tricaudatus,"R, M",Cadmiumchloride,,21,,76.07,,350.4,,350.4,Mebane et al. 2012,,,,
Mayfly,Ephemerella subvaria,"S, U",Cadmiumsulfate,,44,,"2,000",,"4,467","4,607","4,467",Warnick and Bell 1969,,,,
Stonefly,Pteronarcella badia,"F, M",Cadmiumchloride,,,,"18,000",,,NA (e),NA (e),Clubb et al. 1975,,,,
Little green stonefly,Sweltsa sp.,"R, M",Cadmiumchloride,,26,>,"5,386",>,"20,132",,">20,132",Mebane et al. 2012,,,"(>5,239 reported dissolved)",
Caddisfly,Arctopsyche sp.,"R, M",Cadmiumchloride,,28,>,"470.8",>,"1,637",,">1,637",Mebane et al. 2012,,,(>458 reported dissolved),
Westslope cutthroat trout,Oncorhynchus clarkii lewisi,"R, M",Cadmiumchloride,,32,,"1.542",,4.703,,,Mebane et al. 2012,,,(1.5 reported dissolved),(i)
Westslope cutthroat trout,Oncorhynchus clarkii lewisi,"R, M",Cadmiumchloride,,31,,"1.234",,3.883,,,Mebane et al. 2012,,,(1.2 reported dissolved),(i)
Rainbow trout,Oncorhynchus mykiss,"S, U",,,,,6,,,,,Kumada et al. 1973,,,,
Rainbow trout,Oncorhynchus mykiss,"S, U",,,,,7,,,,,Kumada et al. 1973,,,,
Rainbow trout,Oncorhynchus mykiss,"S, U",Cadmiumchloride,,,,6,,,,,Kumada et al. 1980,,,,
Rainbow trout,Oncorhynchus mykiss,"S, M",Cadmiumchloride,,43.5,,2.3,,5.194,,,Spehar and Carlson1984a;b,,,,
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,21,,"0.8224",,3.789,,,Mebane et al. 2012,,,(0.8 reported dissolved),
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,7,,"0.4934",,6.663,,,Mebane et al. 2012,,,(0.48 reported dissolved),
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,13,,"1.018",,7.5,,,Mebane et al. 2012,,,(0.99 reported dissolved),
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,24,,"1.336",,5.401,,,Mebane et al. 2012,,,(1.3 reported dissolved),
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,32,,"0.9560",,2.916,,,Mebane et al. 2012,,,(0.93 reported dissolved),
Rainbow trout,Oncorhynchus mykiss,"R, M",Cadmiumchloride,,29,,"0.8532",,2.866,,,Mebane et al. 2012,,,(0.83 reported dissolved),
Brown trout,Salmo trutta,"S, M",Cadmiumchloride,,43.5,,1.4,,3.162,,,Spehar and Carlson1984a;b,,,,
Goldfish,Carassius auratus,"S, U",Cadmiumchloride,,20,,"2,340",,"11,307",,,Pickering and Henderson1966,,,,
Goldfish,Carassius auratus,"S, M",Cadmiumchloride,,20,,"2,130",,"10,293",,,McCarty et al. 1978,,,,
Goldfish,Carassius auratus,"S, M",Cadmiumchloride,,140,,"46,800",,"33,661",,,McCarty et al. 1978,,,,
White sucker,Catostomus commersoni,"F, M",Cadmiumchloride,,18,,"1,110",,"5,947","6,344","5,947",Duncan and Klaverkamp1983,,,,
Flagfish,Jordanella floridae,"F, M",Cadmiumchloride,,44,,"2,500",,"5,583","5,759","5,583",Spehar 1976a;b,,,,
Mosquitofish,Gambusia affinis,"F, M",Cadmiumchloride,,11.1,,900,,"7,739",,,Giesy et al. 1977,,,,
Mosquitofish,Gambusia affinis,"F, M",Cadmiumchloride,,11.1,,"2,200",,"18,918",,,Giesy et al. 1977,,,,
Guppy,Poecilia reticulata,"S, U",Cadmiumchloride,,20,,"1,270",,"6,137",,,Pickering and Henderson1966,,,,
Guppy,Poecilia reticulata,"S, U",Cadmiumchloride,,,,"18,635",,NA ,"4,981","4,929",Yilmaz et al. 2004,,,,
Threespine stickleback,Gasterosteus aculeatus,"S, U",Cadmiumchloride,,115,,"6,500",,"5,668",,,Pascoe and Cram 1977,,,,
Threespine stickleback,Gasterosteus aculeatus,"R, M",Cadmiumchloride,,107,,"23,000",,"21,522","11,002","11,045",Pascoe and Mattey 1977,,,,
Green sunfish,Lepomis cyanellus,"S, U",Cadmiumchloride,,20,,"2,840",,"13,724",,,Pickering and Henderson1966,,,,
Green sunfish,Lepomis cyanellus,"S, U",Cadmiumchloride,,360,,"66,000",,"18,832",,,Pickering and Henderson1966,,,,
Green sunfish,Lepomis cyanellus,"F, M",Cadmiumchloride,,335,,"20,500",,"6,276",,,Jude 1973,,,,
Bluegill,Lepomis macrochirus,"S, U",Cadmiumchloride,,20,,"1,940",,"9,375",,,Pickering and Henderson1966,,,,
